,City,lat,lon,temp,humidity,clouds,wind,c_id
493,grande caille,18.35,-73.1166667,77.28440000000003,100,0,2.71,3725364
51,campo alegre,-7.816667,-38.933333,74.0318,77,64,1.46,3388440
160,mikaika,-24.15,45.9833333,59.721800000000016,100,0,1.91,1081790
451,phumi don noy,10.9333333,106.05,77.26999999999995,100,75,2.1,1575788
163,sitio miguel l. da costa,-23.821324,-50.053895,67.91180000000004,95,44,0.61,7776186
250,medias aguas,-35.283333,-71.5,73.66999999999996,49,0,3.1,3875023
593,miller grove,40.0066667,-84.4641667,41.54000000000002,88,40,1.31,4505390
88,nakapika,-12.9666667,30.6833333,59.226799999999955,89,36,1.16,898912
130,estancia laram phujo,-17.6333333,-68.6166667,41.766799999999975,84,36,2.01,3917004
666,podgorni,57.448262,28.009007,28.66999999999996,92,76,3.0,513051
527,khawindino ware,27.589369,68.571152,70.06999999999996,64,0,3.1,1161991
677,kolychevo,55.7753,41.2877,19.324400000000047,91,80,4.76,556462
198,itaranta,-25.0166667,46.4833333,75.46999999999997,94,20,3.1,1081790
1,waka,-0.8,20.1666667,71.96180000000004,96,56,1.31,218355
112,rapua,-15.905,38.2783333,72.81679999999997,90,44,1.21,1033354
75,barao de suacuna,-8.4,-35.266667,77.26999999999995,88,75,2.1,3400804
506,el capote,23.233333,-98.666667,75.46999999999997,25,75,1.71,3483063
46,barospasar,-6.897778,107.528611,65.61679999999998,98,48,0.41,1646448
503,manicaragua,21.0333333,-77.0166667,72.6044,70,0,4.66,3550598
336,arthurton,-46.116667,169.166667,55.89680000000002,68,24,8.61,6201424
171,taolambositsy ambany,-24.25,44.75,68.76679999999999,76,0,4.11,1078553
679,polyakovskiy pervyy,53.814444,40.741389,25.084400000000027,93,92,5.76,539075
632,celpuszta,46.383333,18.383333,50.55439999999999,95,20,4.11,3044835
697,korsmo,60.25,11.666667,11.404399999999985,70,0,1.01,3149469
642,novoselskiy,50.654945,34.235292,36.33440000000003,97,92,4.76,613273
300,wadestown,-41.266667,174.766667,66.46999999999997,82,20,12.9,2180482
492,lititz,17.9166667,-77.6,72.51439999999997,76,32,1.21,3491161
785,ny-alesund,78.9333333,11.95,-13.975600000000007,41,20,1.41,2729907
408,kemajuan tanah pasir besar,2.6581,102.5346,80.52440000000004,91,36,1.31,1734839
538,jiahui,24.983333,110.883333,69.18440000000004,86,0,1.41,6422874
569,shallal al `abd al `aziz,34.8052778,44.285,51.54440000000001,77,0,1.21,6752102
601,matueca de torio,42.77223,-5.510737,33.27440000000005,89,12,5.66,3122293
332,straun,-44.583333,170.65,60.62180000000002,49,12,4.91,2180177
407,mountain point,3.0,-59.6333333,75.57440000000005,84,20,1.36,3405215
727,bychila,68.933333,152.283333,-3.805599999999991,92,32,2.41,0
786,nunatami,80.0,-66.0,-2.2756000000000043,87,48,3.66,0
321,barnego flat,-46.233333,169.716667,56.07679999999996,70,0,10.81,2208248
16,drabito,-2.15,147.0833333,83.75179999999996,100,0,2.91,2091495
629,buschelhof,49.3,9.583333,43.37599999999999,100,90,4.1,6555543
259,elgin,-34.151099,19.04118,61.069999999999965,87,0,4.1,3367513
696,vastra hovlanda,59.316667,13.533333,19.66999999999996,73,20,2.1,2677456
500,doi thong,20.983333,105.35,71.86999999999996,94,75,2.6,1580830
520,lijiawo,28.674793,115.627955,75.30439999999999,78,20,1.86,1925100
127,pungo,-17.3186111,34.9358333,75.92180000000002,87,0,3.01,1039000
659,in den heeren bos,50.9,5.35,40.24399999999997,86,20,3.6,2796491
505,lang hoc,21.65,104.65,66.39440000000002,94,68,0.86,1559978
265,ancona,-36.983333,145.816667,57.24680000000002,88,0,1.31,2177915
691,kuzintsy,58.247163,50.166141,24.994400000000006,89,80,6.36,539284
576,ban-e vizeh,33.6299,46.1924,39.469999999999956,80,0,1.0,138568
24,mangola,-3.4166667,35.4333333,60.62180000000002,100,0,1.96,151610
358,florida seca,-48.421834,-67.353693,56.16679999999998,52,0,5.21,3840082
642,novoselskiy,50.654945,34.235292,36.33440000000003,97,92,4.76,613273
416,lingomo,0.8833333,23.5666667,71.34440000000001,96,24,1.31,219414
318,tenaun,-42.315,-73.359167,54.99680000000002,100,76,4.91,3900700
668,verkhne-suyan,56.042001,57.272393,22.384400000000028,83,80,5.56,552862
523,corral de barrancas,28.166667,-105.333333,62.70439999999999,16,0,4.11,4013720
477,quartier morne pavillon,14.6166667,-60.95,78.20600000000003,78,20,3.1,3570429
248,claypans,-34.816667,139.666667,61.971800000000016,83,12,1.91,2074308
269,mangatawhiri,-37.216667,175.116667,71.86999999999996,64,8,6.2,2184459
373,puerto coig,-50.954527,-69.223472,51.62180000000002,85,88,12.31,3854293
122,muonua,-16.8344444,38.2544444,72.54680000000002,96,8,1.01,1024312
46,barospasar,-6.897778,107.528611,65.61679999999998,98,48,0.41,1646448
85,cangolo segundo,-12.353418,15.34114,59.181799999999996,99,68,0.61,3348310
646,staryye gusevitsy,52.5833333,30.65,32.26999999999996,89,90,4.0,629564
